Скользкая заледеневшая дорога	скользкий_дорога
Скользкие заледеневшие ступеньки	скользкий_ступенька
Скользкий мокрый пол	скользкий_пол
Скользкая лестница	скользкий_лестница
Скользкий паркет	скользкий_паркет
Скользкая рыба (только что пойманная)	скользкий_рыба
Скользкое мыло	скользкий_мыло
Скользкие грибы	скользкий_гриб
Скользкие руки	скользкий_рука
Скользкая подошва	скользкий_подошва
Скользкие ботинки	скользкий_ботинок
Скользкий вопрос (неприятно обсуждать)	скользкий_вопрос
Скользкий путь (жизненный)	скользкий_путь
Скользкая тема	скользкий_тема
Скользкий тип (может обмануть, подвести)	скользкий_тип
Льстивый человек	льстивый_человек
Болтливый человек	болтливый_человек
Красноречивый человек	красноречивый_человек
Ловкий человек	ловкий_человек
Сообразительный человек	сообразительный_человек
ровное место (обширный участок местности)	ровный_место
ровная степь	ровный_степь
ровный луг	ровный_луг
ровная тундра	ровный_тундра
Плоское место (нет холмов и гор)	плоский_место
Плоская местность	плоский_местность
Плоский ландшафт	плоский_ландшафт
гладкая доска	гладкий_доска
гладкий камень	гладкий_камень
гладкая кожа (у девушки)	гладкий_кожа
гладкая шерсть (у собаки)	гладкий_шерсть
гладкие щеки (чисто выбритые)	гладкий_щека
гладкий подбородок (чисто выбритый)	гладкий_подбородок
гладкие волосы (хорошо причесанные)	гладкий_волосы
гладкие перышки птицы	гладкий_перышко
Ровная дорога (заасфальтированная)	ровный_дорога
Ровное шоссе	ровный_шоссе
Ровная тропинка	ровный_тропинка
Гладкая поверхность воды в озере (при штиле)	гладкий_поверхность
Ровный пол	ровный_пол
Ровный потолок	ровный_потолок
Ровная стена	ровный_стена
Ровный забор	ровный_забор
Красивая девушка	красивый_девушка
Стройная девушка	стройный_девушка
Добрый человек	добрый_человек
Мягкий человек	мягкий_человек
Аккуратный человек	аккуратный_человек
Красивый парень	красивый_парень
Стройный парень	стройный_парень
Красивый человек	красивый_человек
Стройный человек	стройный_человек
Приятный вкус (+ сочетаемость с названиями естественных для информанта блюд)	приятный_вкус
Равные расстояния между селами.	ровный_расстояние
Ровный загар.	ровный_загар
Одинаково хорошее качество	стабильный_качество
Равные промежутки времени.	равный_промежуток
Ровный звук (всё время одинаковый).	ровный_звук
Ровный ритм	ровный_ритм
Постоянная скорость	постоянный_скорость
Ровное гудение	ровный_гудение
Ровное дыхание	ровный_дыхание
Ровная линия (прямая)	ровный_линия
Прямая дорога	прямой_дорога
Гладкая ткань (без рисунка)	гладкий_ткань
Простой, легкий для понимания текст (положительная оценка)	простой_текст
Слабая боль.	слабый_боль
Тихий шепот	тихий_шепот
Фасад без украшений.	простой_фасад
Пустой карман ('нет денег')	пустой_карман
Обычный человек (не выделяется на фоне остальных)	обычный_человек
Тихие шаги	тихий_шаг
Тихий стук в дверь	тихий_стук
Слабый дождь	слабый_дождь
Медленное течение реки	медленный_течение
